unit,time,age,asfr,treat
East Germany,1969,34,0.04413,0
East Germany,1969,35,0.03881,0
East Germany,1969,36,0.0323,0
East Germany,1969,37,0.02638,0
East Germany,1969,38,0.02044,0
East Germany,1969,39,0.01434,0
East Germany,1969,40,0.00888,0
East Germany,1969,41,0.00569,0
East Germany,1969,42,0.00355,0
East Germany,1969,43,0.00196,0
East Germany,1969,44,0.00122,0
East Germany,1969,45,0.00059,0
East Germany,1969,46,0.00023,0
East Germany,1969,47,0.00013,0
East Germany,1969,48,7e-05,0
East Germany,1969,49,4e-05,0
East Germany,1969,50,2e-05,0
East Germany,1969,51,1e-05,0
East Germany,1969,52,1e-05,0
East Germany,1969,53,0.0,0
East Germany,1969,54,0.0,0
East Germany,1969,55,0.0,0
East Germany,1970,12,0.0,0
East Germany,1970,13,0.0,0
East Germany,1970,14,7e-05,0
East Germany,1970,15,0.00188,0
East Germany,1970,16,0.00961,0
East Germany,1970,17,0.0381,0
East Germany,1970,18,0.09332,0
East Germany,1970,19,0.1566,0
East Germany,1970,20,0.19203,0
East Germany,1970,21,0.2015,0
East Germany,1970,22,0.1907,0
East Germany,1970,23,0.17406,0
East Germany,1970,24,0.15535,0
East Germany,1970,25,0.1362,0
East Germany,1970,26,0.12159,0
East Germany,1970,27,0.10673,0
East Germany,1970,28,0.09369,0
East Germany,1970,29,0.08357,0
East Germany,1970,30,0.0738,0
East Germany,1970,31,0.06484,0
East Germany,1970,32,0.05606,0
East Germany,1970,33,0.04889,0
East Germany,1970,34,0.04245,0
East Germany,1970,35,0.03588,0
East Germany,1970,36,0.03092,0
East Germany,1970,37,0.02557,0
East Germany,1970,38,0.01974,0
East Germany,1970,39,0.01357,0
East Germany,1970,40,0.00861,0
East Germany,1970,41,0.00529,0
East Germany,1970,42,0.00328,0
East Germany,1970,43,0.00204,0
East Germany,1970,44,0.00128,0
East Germany,1970,45,0.0006,0
East Germany,1970,46,0.00022,0
East Germany,1970,47,0.00012,0
East Germany,1970,48,7e-05,0
East Germany,1970,49,4e-05,0
East Germany,1970,50,2e-05,0
East Germany,1970,51,1e-05,0
East Germany,1970,52,1e-05,0
East Germany,1970,53,0.0,0
East Germany,1970,54,0.0,0
East Germany,1970,55,0.0,0
East Germany,1971,12,0.0,0
East Germany,1971,13,0.0,0
East Germany,1971,14,9e-05,0
East Germany,1971,15,0.00219,0
East Germany,1971,16,0.01,0
East Germany,1971,17,0.04006,0
East Germany,1971,18,0.09635,0
East Germany,1971,19,0.15724,0
East Germany,1971,20,0.19073,0
East Germany,1971,21,0.19667,0
East Germany,1971,22,0.18539,0
East Germany,1971,23,0.16826,0
East Germany,1971,24,0.15093,0
East Germany,1971,25,0.13213,0
East Germany,1971,26,0.11589,0
East Germany,1971,27,0.1018,0
East Germany,1971,28,0.08894,0
East Germany,1971,29,0.07869,0
East Germany,1971,30,0.07,0
East Germany,1971,31,0.06073,0
East Germany,1971,32,0.05334,0
East Germany,1971,33,0.04677,0
East Germany,1971,34,0.03985,0
East Germany,1971,35,0.03411,0
East Germany,1971,36,0.02921,0
East Germany,1971,37,0.0248,0
East Germany,1971,38,0.01976,0
East Germany,1971,39,0.01385,0
East Germany,1971,40,0.00846,0
East Germany,1971,41,0.00536,0
East Germany,1971,42,0.00358,0
East Germany,1971,43,0.00207,0
East Germany,1971,44,0.00108,0
East Germany,1971,45,0.0005,0
East Germany,1971,46,0.00022,0
East Germany,1971,47,0.00013,0
East Germany,1971,48,7e-05,0
East Germany,1971,49,4e-05,0
East Germany,1971,50,2e-05,0
East Germany,1971,51,1e-05,0
East Germany,1971,52,1e-05,0
East Germany,1971,53,0.0,0
East Germany,1971,54,0.0,0
East Germany,1971,55,0.0,0
East Germany,1972,12,0.0,1
East Germany,1972,13,0.0,1
East Germany,1972,14,7e-05,1
East Germany,1972,15,0.00192,1
East Germany,1972,16,0.00901,1
East Germany,1972,17,0.03556,1
East Germany,1972,18,0.08623,1
East Germany,1972,19,0.1408,1
East Germany,1972,20,0.16825,1
East Germany,1972,21,0.16883,1
East Germany,1972,22,0.15962,1
East Germany,1972,23,0.14601,1
East Germany,1972,24,0.12953,1
East Germany,1972,25,0.11239,1
East Germany,1972,26,0.09586,1
East Germany,1972,27,0.08147,1
East Germany,1972,28,0.07214,1
East Germany,1972,29,0.06293,1
East Germany,1972,30,0.053,1
East Germany,1972,31,0.04609,1
East Germany,1972,32,0.03986,1
East Germany,1972,33,0.03483,1
East Germany,1972,34,0.03048,1
East Germany,1972,35,0.02601,1
East Germany,1972,36,0.02173,1
East Germany,1972,37,0.01753,1
East Germany,1972,38,0.01436,1
East Germany,1972,39,0.01088,1
East Germany,1972,40,0.00732,1
East Germany,1972,41,0.00492,1
East Germany,1972,42,0.00306,1
East Germany,1972,43,0.00173,1
East Germany,1972,44,0.00095,1
East Germany,1972,45,0.00044,1
East Germany,1972,46,0.00021,1
East Germany,1972,47,0.00012,1
East Germany,1972,48,7e-05,1
East Germany,1972,49,4e-05,1
East Germany,1972,50,2e-05,1
East Germany,1972,51,1e-05,1
East Germany,1972,52,1e-05,1
East Germany,1972,53,0.0,1
East Germany,1972,54,0.0,1
East Germany,1972,55,0.0,1
East Germany,1973,12,0.0,1
East Germany,1973,13,0.0,1
East Germany,1973,14,3e-05,1
East Germany,1973,15,0.00118,1
East Germany,1973,16,0.00692,1
East Germany,1973,17,0.03021,1
East Germany,1973,18,0.08067,1
East Germany,1973,19,0.13459,1
East Germany,1973,20,0.15815,1
East Germany,1973,21,0.15804,1
East Germany,1973,22,0.14676,1
East Germany,1973,23,0.13536,1
East Germany,1973,24,0.12004,1
East Germany,1973,25,0.1017,1
East Germany,1973,26,0.08417,1
East Germany,1973,27,0.0673,1
East Germany,1973,28,0.06181,1
East Germany,1973,29,0.05155,1
East Germany,1973,30,0.04344,1
East Germany,1973,31,0.03691,1
East Germany,1973,32,0.02933,1
East Germany,1973,33,0.02564,1
East Germany,1973,34,0.02215,1
East Germany,1973,35,0.01804,1
East Germany,1973,36,0.01528,1
East Germany,1973,37,0.01233,1
East Germany,1973,38,0.00979,1
East Germany,1973,39,0.00763,1
East Germany,1973,40,0.00519,1
East Germany,1973,41,0.00364,1
East Germany,1973,42,0.00242,1
East Germany,1973,43,0.00127,1
East Germany,1973,44,0.00081,1
East Germany,1973,45,0.00044,1
East Germany,1973,46,0.00018,1
East Germany,1973,47,0.0001,1
East Germany,1973,48,6e-05,1
East Germany,1973,49,3e-05,1
East Germany,1973,50,2e-05,1
East Germany,1973,51,1e-05,1
East Germany,1973,52,1e-05,1
East Germany,1973,53,0.0,1
East Germany,1973,54,0.0,1
East Germany,1973,55,0.0,1
East Germany,1974,12,0.0,1
East Germany,1974,13,0.0,1
East Germany,1974,14,8e-05,1
East Germany,1974,15,0.00098,1
East Germany,1974,16,0.00728,1
East Germany,1974,17,0.02943,1
East Germany,1974,18,0.07725,1
East Germany,1974,19,0.13207,1
East Germany,1974,20,0.15323,1
East Germany,1974,21,0.15192,1
East Germany,1974,22,0.14495,1
East Germany,1974,23,0.13412,1
East Germany,1974,24,0.1213,1
East Germany,1974,25,0.10197,1
East Germany,1974,26,0.08567,1
East Germany,1974,27,0.06894,1
East Germany,1974,28,0.0567,1
East Germany,1974,29,0.05132,1
East Germany,1974,30,0.04116,1
East Germany,1974,31,0.03551,1
East Germany,1974,32,0.02941,1
East Germany,1974,33,0.02401,1
East Germany,1974,34,0.02023,1
